Domain,type
adult-fanfiction.org,adult entertainment
adultfriendfinder.com,adult entertainment
adultfriendfinder.com,adult entertainment
aipai.com,adult entertainment
ashleymadison.com,adult entertainment
thefappening.so,Celebrities and leaked content
bestialitysextaboo.com,adult entertainment
brazzers.com,Adult entertainment
eroticy.com,Adult content and entertainment
hookers.nl,Adult entertainment and services
hthstudios.com,Gaming and adult entertainment
naughtyamerica.com,Adult entertainment and content
nonnudegirls.org,Adult content and modeling
rosebuttboard.com,Adult content and forums
stripchat.com,Adult entertainment and live streaming
thecandidboard.com,Adult content and forums
wifelovers.com,Adult content and forums
xhamster.com,Adult content and entertainment
youporn.com,Adult content and entertainment
furaffinity.net,Art and furry fandom
artsy.net,art industry
artvalue.com,art industry
astropid.com,astrology
funimation.com,Anime and entertainment
nihonomaru.net,Anime and manga
anime-planet.com,anime and manga -entertaintment
wakanim.tv,Anime and streaming services
sony.com,Electronics and entertainment
bombuj.eu,Entertainment
digimon.co.in,Entertainment and media
divxsubtitles.net,Entertainment and media
filmai.in,Entertainment and media
opensubtitles.org,Entertainment and subtitles
dailyquiz.me,Entertainment and trivia
sterkinekor.co.za,Entertainment and cinema
peatix.com,Event management and ticketing
evite.com,Event planning and invitations
mgmresorts.com,Hospitality and entertainment
mgmresorts.com,Hospitality and entertainment
storybird.com,Literature and online storytelling
wattpad.com,Literature and online storytelling
short-edition.com,Literature and short stories
svenskamagic.com,Magic and card games
mangadex.org,Manga and comics
mangafox.me,Manga and comics
mangatoon.mobi,Manga and comics
mangatraders.com,Manga and comics
start.film,Media and entertainment
jukinmedia.com,Media and video licensing
plex.tv,Media streaming and entertainment
pluto.tv,Media streaming and entertainment
sonicbids.com,Music and artist promotion
soundwave.com,Music and audio discovery
coachella.com,Music and entertainment
datpiff.com,Music and entertainment
deezer.com,Music and entertainment
ffshrine.org,Music and entertainment
imesh.com,Music and entertainment
last.fm,Music and entertainment
lyricsmania.com,Music and entertainment
siae.it,Music and intellectual property
reverbnation.com,Music and online entertainment
